year,month,ppm
1958,01,-99.99
1958,02,-99.99
1958,03,315.70
1958,04,317.45
1958,05,317.51
1958,06,-99.99
1958,07,315.86
1958,08,314.93
1958,09,313.21
1958,10,-99.99
1958,11,313.33
1958,12,314.67
1959,01,315.58
1959,02,316.49
1959,03,316.65
1959,04,317.72
1959,05,318.29
1959,06,318.15
1959,07,316.54
1959,08,314.80
1959,09,313.84
1959,10,313.33
1959,11,314.81
1959,12,315.58
1960,01,316.43
1960,02,316.98
1960,03,317.58
1960,04,319.03
1960,05,320.04
1960,06,319.58
1960,07,318.18
1960,08,315.90
1960,09,314.17
1960,10,313.83
1960,11,315.00
1960,12,316.19
1961,01,316.89
1961,02,317.70
1961,03,318.54
1961,04,319.48
1961,05,320.58
1961,06,319.77
1961,07,318.56
1961,08,316.79
1961,09,314.99
1961,10,315.31
1961,11,316.10
1961,12,317.01
1962,01,317.94
1962,02,318.55
1962,03,319.68
1962,04,320.57
1962,05,321.02
1962,06,320.62
1962,07,319.61
1962,08,317.40
1962,09,316.25
1962,10,315.42
1962,11,316.69
1962,12,317.70
1963,01,318.74
1963,02,319.07
1963,03,319.86
1963,04,321.38
1963,05,322.25
1963,06,321.48
1963,07,319.74
1963,08,317.77
1963,09,316.21
1963,10,315.99
1963,11,317.07
1963,12,318.35
1964,01,319.57
1964,02,-99.99
1964,03,-99.99
1964,04,-99.99
1964,05,322.25
1964,06,321.89
1964,07,320.44
1964,08,318.69
1964,09,316.71
1964,10,316.87
1964,11,317.68
1964,12,318.71
1965,01,319.44
1965,02,320.44
1965,03,320.89
1965,04,322.14
1965,05,322.17
1965,06,321.87
1965,07,321.21
1965,08,318.87
1965,09,317.82
1965,10,317.30
1965,11,318.87
1965,12,319.42
1966,01,320.62
1966,02,321.60
1966,03,322.39
1966,04,323.70
1966,05,324.08
1966,06,323.75
1966,07,322.38
1966,08,320.36
1966,09,318.64
1966,10,318.10
1966,11,319.78
1966,12,321.03
1967,01,322.33
1967,02,322.50
1967,03,323.03
1967,04,324.42
1967,05,325.00
1967,06,324.09
1967,07,322.54
1967,08,320.92
1967,09,319.25
1967,10,319.39
1967,11,320.73
1967,12,321.96
1968,01,322.57
1968,02,323.15
1968,03,323.89
1968,04,325.02
1968,05,325.57
1968,06,325.36
1968,07,324.14
1968,08,322.11
1968,09,320.33
1968,10,320.25
1968,11,321.32
1968,12,322.89
1969,01,324.00
1969,02,324.42
1969,03,325.63
1969,04,326.66
1969,05,327.38
1969,06,326.71
1969,07,325.88
1969,08,323.66
1969,09,322.38
1969,10,321.78
1969,11,322.85
1969,12,324.12
1970,01,325.06
1970,02,325.98
1970,03,326.93
1970,04,328.13
1970,05,328.08
1970,06,327.67
1970,07,326.34
1970,08,324.69
1970,09,323.10
1970,10,323.06
1970,11,324.01
1970,12,325.13
1971,01,326.17
1971,02,326.68
1971,03,327.18
1971,04,327.79
1971,05,328.93
1971,06,328.57
1971,07,327.36
1971,08,325.43
1971,09,323.36
1971,10,323.56
1971,11,324.80
1971,12,326.01
1972,01,326.77
1972,02,327.63
1972,03,327.75
1972,04,329.72
